F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,7755,356.402,399.885,20.616,0.017,0.147,0.028,78.37636,-65.47514
A,9700,350.238,397.564,21.964,0.071,0.603,0.098,78.37498,-65.47535
A,1351,385.561,396.172,21.443,0.038,0.823,0.068,78.38282,-65.47553
A,1369,375.855,402.064,17.407,0.007,-0.025,0.015,78.38068,-65.47497
A,4461,389.631,382.025,21.621,0.035,0.404,0.064,78.38367,-65.47684
A,4486,384.015,389.006,18.557,0.011,0.919,0.015,78.38245,-65.47618
A,7733,375.816,394.660,18.192,0.010,-0.002,0.022,78.38065,-65.47565
A,7759,378.965,401.993,20.758,0.055,0.164,0.091,78.38137,-65.47498
A,8847,388.634,389.244,20.744,0.089,0.290,0.096,78.38348,-65.47617
A,11658,394.588,393.819,18.472,0.073,0.357,0.093,78.38482,-65.47575
A,11704,395.065,392.529,19.255,0.138,-0.493,0.152,78.38492,-65.47587
A,12309,388.003,387.219,22.496,0.407,0.208,0.605,78.38333,-65.47635
A,12351,373.816,396.234,22.396,0.213,0.152,0.364,78.38021,-65.47550
A,7760,380.637,407.277,21.013,0.075,0.258,0.101,78.38176,-65.47449
A,7761,385.152,414.964,18.125,0.012,-0.086,0.016,78.38279,-65.47379
A,7762,388.289,411.367,21.680,0.070,0.399,0.098,78.38348,-65.47413
A,7763,389.355,407.363,21.376,0.041,0.331,0.068,78.38370,-65.47450
A,8971,394.490,412.425,21.670,0.043,0.388,0.091,78.38486,-65.47404
A,9715,382.311,410.226,20.163,0.030,-0.038,0.038,78.38214,-65.47422
A,9716,380.826,412.404,19.449,0.026,0.107,0.033,78.38182,-65.47402
A,1334,353.715,409.904,19.999,0.013,0.061,0.018,78.37579,-65.47422
A,1335,355.395,421.563,21.075,0.026,0.139,0.038,78.37621,-65.47314
A,4526,365.473,402.580,20.108,0.016,0.070,0.024,78.37838,-65.47491
A,4527,362.031,404.508,20.469,0.014,0.084,0.024,78.37762,-65.47472
A,7768,368.987,408.629,20.585,0.046,0.192,0.115,78.37918,-65.47435
A,7769,366.946,409.399,18.917,0.016,-0.031,0.020,78.37873,-65.47428
A,7786,354.797,415.747,22.967,0.156,0.580,0.214,78.37605,-65.47368
A,12384,370.219,404.311,22.483,0.098,0.068,0.141,78.37944,-65.47475
A,1336,362.711,426.348,19.955,0.017,0.016,0.023,78.37785,-65.47271
A,4558,364.250,417.986,20.320,0.016,0.067,0.028,78.37816,-65.47348
A,7805,372.635,420.365,17.671,0.023,-0.024,0.038,78.38003,-65.47328
A,7835,367.701,428.912,21.817,0.043,0.710,0.081,78.37896,-65.47248
A,7836,357.872,430.300,22.588,0.084,0.290,0.187,78.37679,-65.47234
A,7838,358.677,437.408,22.157,0.122,1.650,0.270,78.37699,-65.47169
A,8979,359.853,422.383,21.061,0.023,0.196,0.031,78.37720,-65.47307
A,9439,371.024,422.402,21.147,0.324,-0.548,0.387,78.37968,-65.47309
A,9728,367.261,416.581,20.832,0.025,0.085,0.043,78.37882,-65.47362
A,10728,376.048,423.817,19.130,0.101,0.676,0.183,78.38080,-65.47296
A,10729,375.899,425.378,17.836,0.010,0.137,0.045,78.38077,-65.47282
A,12489,374.475,420.569,20.755,0.098,0.515,0.143,78.38044,-65.47326
A,12521,372.301,423.550,21.006,0.066,-0.352,0.221,78.37997,-65.47298
A,12540,372.620,427.818,21.983,0.084,0.635,0.166,78.38005,-65.47259
A,1352,339.197,396.614,23.155,0.118,0.544,0.193,78.37253,-65.47542
A,4464,341.655,387.613,22.825,0.083,0.518,0.130,78.37304,-65.47626
A,4465,339.311,390.443,22.950,0.101,0.375,0.142,78.37253,-65.47599
A,4520,328.827,398.716,21.653,0.060,0.335,0.085,78.37023,-65.47521
A,4521,332.368,399.907,19.806,0.012,0.151,0.018,78.37102,-65.47511
A,7608,341.895,383.292,21.466,0.030,0.668,0.058,78.37308,-65.47665
A,7765,328.853,403.024,21.415,0.046,0.535,0.065,78.37025,-65.47482
A,12292,345.258,384.052,22.095,0.046,0.637,0.090,78.37383,-65.47659
A,4537,331.628,408.534,19.650,0.012,0.007,0.017,78.37089,-65.47431
A,6532,343.381,406.139,20.137,0.180,-0.212,0.194,78.37349,-65.47455
A,7785,329.863,415.794,22.292,0.140,0.565,0.199,78.37052,-65.47364
A,8868,346.960,402.174,20.219,0.018,0.022,0.025,78.37427,-65.47492
A,9717,341.921,410.225,19.398,0.022,0.005,0.041,78.37318,-65.47417
A,9718,340.037,413.073,19.424,0.061,0.152,0.083,78.37277,-65.47391
A,12383,344.349,405.510,20.856,0.047,0.971,0.088,78.37370,-65.47461
A,1395,317.149,412.462,22.257,0.066,0.740,0.115,78.36768,-65.47393
A,4533,319.939,406.888,20.004,0.024,0.048,0.031,78.36828,-65.47445
A,4563,305.361,417.139,20.745,0.020,0.180,0.031,78.36508,-65.47348
A,4564,309.780,419.334,19.354,0.031,0.027,0.033,78.36607,-65.47329
A,7778,309.383,410.195,20.880,0.043,0.264,0.059,78.36595,-65.47413
A,8876,323.733,407.387,18.320,0.010,0.014,0.016,78.36913,-65.47441
A,12453,309.532,414.476,22.252,0.063,0.523,0.106,78.36600,-65.47373
A,4555,324.660,415.603,20.795,0.028,0.348,0.040,78.36936,-65.47365
A,4565,310.831,422.666,21.214,0.070,0.184,0.076,78.36632,-65.47298
A,4580,323.343,424.524,22.340,0.061,0.442,0.101,78.36910,-65.47283
A,12486,311.252,420.327,22.618,0.225,0.327,0.458,78.36640,-65.47320
A,4603,332.095,432.830,18.714,0.010,-0.013,0.018,78.37107,-65.47207
A,7802,339.954,419.754,21.296,0.035,0.214,0.053,78.37277,-65.47329
A,8987,335.940,437.363,21.308,0.074,0.737,0.107,78.37194,-65.47166
A,9438,344.690,422.484,22.052,0.099,0.680,0.144,78.37383,-65.47304
A,12532,348.778,427.281,19.393,0.069,0.304,0.072,78.37476,-65.47261
A,753,349.284,438.128,15.723,0.015,1.160,0.019,78.37491,-65.47161
A,4587,344.565,432.511,15.887,0.013,0.754,0.021,78.37384,-65.47212
A,7871,336.978,449.310,22.174,0.074,0.358,0.123,78.37221,-65.47056
A,9841,336.184,453.141,19.251,0.012,0.021,0.016,78.37205,-65.47021
A,11778,341.744,450.785,20.124,0.309,0.789,0.319,78.37327,-65.47043
A,4606,311.596,440.287,20.196,0.017,0.020,0.022,78.36655,-65.47136
A,4607,309.219,440.454,22.145,0.080,0.645,0.137,78.36602,-65.47134
A,4613,326.601,442.385,22.399,0.073,0.435,0.094,78.36988,-65.47118
A,6565,317.780,439.331,19.081,0.011,-0.018,0.016,78.36792,-65.47145
A,7848,327.551,437.319,22.418,0.099,0.497,0.149,78.37008,-65.47165
A,8984,320.149,437.808,19.881,0.019,0.765,0.037,78.36844,-65.47160
A,9824,315.469,440.662,23.392,0.339,0.320,0.602,78.36741,-65.47133
A,9825,319.442,444.078,20.943,0.026,0.111,0.035,78.36830,-65.47102
A,10133,320.715,435.177,20.126,0.021,0.090,0.033,78.36855,-65.47184
A,1496,328.833,454.427,21.631,0.035,0.356,0.056,78.37042,-65.47008
A,1497,327.071,458.409,21.119,0.039,0.226,0.054,78.37004,-65.46971
A,1499,325.456,460.882,22.397,0.064,0.890,0.166,78.36969,-65.46948
A,4653,322.149,452.368,19.068,0.008,0.007,0.015,78.36893,-65.47026
A,4684,318.891,466.533,17.601,0.009,-0.054,0.014,78.36826,-65.46895
A,7890,318.703,462.145,22.180,0.126,0.358,0.208,78.36820,-65.46935
A,8998,333.253,453.392,22.203,0.098,0.425,0.159,78.37140,-65.47018
A,9454,317.180,459.550,20.228,0.016,0.075,0.024,78.36785,-65.46959
A,1208,289.628,363.464,20.511,0.018,0.092,0.026,78.36141,-65.47841
A,1210,282.799,365.279,20.440,0.022,0.166,0.032,78.35990,-65.47823
A,4379,275.759,360.545,22.874,0.078,0.586,0.138,78.35832,-65.47866
A,7558,286.916,364.661,22.113,0.073,0.544,0.103,78.36081,-65.47830
A,7562,280.864,367.391,21.789,0.056,0.331,0.084,78.35947,-65.47804
A,11772,291.129,349.130,20.572,0.125,0.861,0.248,78.36169,-65.47973
A,11773,290.884,350.621,20.595,0.149,-0.345,0.199,78.36164,-65.47960
A,1209,288.664,369.120,21.404,0.032,0.285,0.045,78.36121,-65.47789
A,1253,275.287,376.463,20.899,0.026,0.295,0.041,78.35827,-65.47719
A,1302,281.934,386.001,19.808,0.013,0.143,0.017,78.35977,-65.47632
A,4469,288.676,379.450,21.240,0.038,0.311,0.054,78.36125,-65.47694
A,7563,282.498,371.702,19.809,0.014,0.108,0.019,78.35985,-65.47764
A,12263,295.373,373.035,22.338,0.094,1.180,0.172,78.36271,-65.47754
A,4446,266.756,372.105,21.289,0.054,0.559,0.074,78.35636,-65.47758
A,6514,254.431,380.514,19.737,0.019,0.126,0.025,78.35365,-65.47679
A,6524,256.163,387.208,19.632,0.020,0.057,0.026,78.35406,-65.47618
A,7594,271.898,374.759,22.182,0.111,0.979,0.179,78.35751,-65.47734
A,8829,260.839,377.730,20.602,0.157,2.270,0.339,78.35506,-65.47706
A,11288,259.055,375.511,15.786,0.015,1.410,0.019,78.35466,-65.47726
A,1345,258.452,402.274,21.846,0.045,0.484,0.066,78.35462,-65.47479
A,4490,269.437,387.003,17.091,0.010,-0.024,0.015,78.35700,-65.47621
A,4511,256.568,397.915,20.889,0.036,0.339,0.050,78.35418,-65.47519
A,6525,258.575,388.180,20.969,0.049,0.106,0.061,78.35460,-65.47609
A,12317,271.652,388.817,21.838,0.174,-0.642,0.240,78.35750,-65.47605
A,1303,287.022,386.032,20.474,0.019,0.114,0.026,78.36090,-65.47633
A,1308,294.182,390.929,21.564,0.041,0.295,0.058,78.36251,-65.47588
A,1309,294.060,396.500,21.227,0.026,0.244,0.044,78.36250,-65.47537
A,7737,282.104,396.457,19.580,0.013,-0.001,0.018,78.35985,-65.47536
A,8843,297.418,387.445,19.374,0.021,0.018,0.026,78.36322,-65.47621
A,8844,297.258,392.222,21.027,0.031,0.164,0.041,78.36320,-65.47577
A,9409,281.262,401.231,19.628,0.014,0.011,0.074,78.35968,-65.47492
A,9410,282.506,401.640,20.590,0.167,0.178,0.253,78.35996,-65.47488
A,12277,297.124,378.731,22.252,0.085,0.388,0.166,78.36312,-65.47701
A,1362,298.102,404.571,21.791,0.040,0.626,0.067,78.36343,-65.47463
A,1404,284.800,414.668,17.501,0.010,-0.024,0.014,78.36051,-65.47368
A,1405,285.575,421.201,21.181,0.034,0.268,0.065,78.36070,-65.47308
A,4515,286.235,403.919,20.183,0.014,0.062,0.023,78.36079,-65.47468
A,4522,302.056,405.618,21.530,0.040,0.352,0.066,78.36431,-65.47454
A,4523,299.566,410.565,21.776,0.036,0.371,0.062,78.36377,-65.47408
A,7776,289.329,408.200,22.129,0.066,0.330,0.102,78.36149,-65.47429
A,7782,294.386,412.534,19.296,0.012,0.043,0.019,78.36263,-65.47389
A,7794,288.437,418.979,20.990,0.038,0.227,0.067,78.36133,-65.47329
A,9408,300.402,400.004,20.693,0.029,0.065,0.034,78.36392,-65.47506
A,12376,301.799,402.280,22.297,0.104,0.565,0.138,78.36424,-65.47485
A,1346,276.318,394.630,21.480,0.043,0.305,0.061,78.35856,-65.47552
A,1347,273.034,399.651,21.046,0.038,0.186,0.051,78.35785,-65.47505
A,1383,276.839,406.806,21.892,0.043,0.393,0.070,78.35871,-65.47440
A,1409,258.028,419.035,21.595,0.034,0.313,0.048,78.35458,-65.47324
A,4559,262.635,416.724,21.376,0.039,0.343,0.055,78.35560,-65.47346
A,7756,270.343,400.114,21.041,0.041,0.417,0.059,78.35725,-65.47500
A,7783,267.848,413.233,22.136,0.058,0.498,0.083,78.35674,-65.47379
A,1400,271.010,416.777,22.040,0.053,0.299,0.079,78.35745,-65.47347
A,1401,268.873,420.225,21.217,0.023,0.501,0.035,78.35699,-65.47315
A,1435,259.812,429.362,22.497,0.070,0.471,0.094,78.35501,-65.47229
A,4588,277.233,426.952,22.012,0.073,0.254,0.110,78.35887,-65.47254
A,12596,263.992,436.013,21.726,0.200,-0.520,0.416,78.35596,-65.47169
A,1330,239.889,391.931,18.951,0.011,-0.007,0.017,78.35046,-65.47572
A,1348,231.864,394.667,20.656,0.018,0.918,0.035,78.34869,-65.47545
A,4510,247.729,394.852,22.228,0.055,0.528,0.110,78.35221,-65.47546
A,4518,241.958,398.180,19.961,0.019,0.210,0.026,78.35094,-65.47514
A,1398,237.000,412.667,20.087,0.016,0.213,0.020,78.34989,-65.47380
A,4543,249.408,410.520,20.719,0.024,0.258,0.033,78.35264,-65.47402
A,4571,237.723,419.671,21.773,0.041,0.694,0.075,78.35007,-65.47316
A,7770,253.473,404.265,20.726,0.023,0.088,0.036,78.35352,-65.47460
A,8866,252.287,394.535,21.290,0.062,0.389,0.088,78.35322,-65.47549
A,8871,246.913,401.801,20.343,0.032,0.144,0.047,78.35205,-65.47482
A,12375,243.574,401.885,22.230,0.075,0.470,0.118,78.35131,-65.47480
A,1374,216.134,411.816,21.183,0.030,0.246,0.042,78.34525,-65.47385
A,6539,210.447,410.815,19.921,0.016,0.083,0.021,78.34399,-65.47393
A,1399,232.345,413.133,20.280,0.014,0.318,0.021,78.34886,-65.47375
A,1421,221.865,423.353,20.862,0.026,0.846,0.049,78.34657,-65.47279
A,4557,222.033,416.517,21.898,0.035,0.560,0.053,78.34658,-65.47343
A,4572,228.508,420.599,17.217,0.020,1.350,0.023,78.34803,-65.47306
A,12452,228.742,414.175,22.545,0.125,0.730,0.172,78.34806,-65.47365
A,12501,231.516,422.068,21.781,0.121,0.881,0.168,78.34870,-65.47293
A,1410,250.896,422.803,20.772,0.018,0.358,0.027,78.35301,-65.47289
A,1448,237.921,432.254,21.862,0.052,0.338,0.067,78.35016,-65.47200
A,4596,245.593,430.995,20.906,0.026,0.211,0.035,78.35186,-65.47212
A,7795,253.522,419.205,21.241,0.028,0.441,0.040,78.35358,-65.47322
A,1434,256.985,425.135,21.984,0.045,0.448,0.069,78.35437,-65.47268
A,1490,243.034,447.198,21.290,0.022,0.555,0.037,78.35135,-65.47063
A,4633,249.620,444.493,21.579,0.035,0.474,0.052,78.35280,-65.47088
A,8989,245.434,439.007,21.009,0.040,0.404,0.073,78.35185,-65.47138
A,1445,227.284,429.538,19.316,0.012,0.009,0.016,78.34779,-65.47223
A,1452,217.851,438.987,19.237,0.009,0.018,0.014,78.34573,-65.47135
A,1470,230.427,442.974,19.802,0.010,0.038,0.016,78.34854,-65.47100
A,6564,221.676,434.829,19.497,0.014,0.034,0.019,78.34656,-65.47174
A,6569,227.415,439.068,23.134,0.120,0.815,0.213,78.34785,-65.47135
A,1510,228.141,453.605,19.632,0.011,0.026,0.015,78.34807,-65.47001
A,1511,225.170,457.239,19.583,0.013,-0.049,0.016,78.34742,-65.46967
A,9016,219.935,459.342,21.080,0.068,0.532,0.093,78.34626,-65.46947
A,1415,295.359,419.130,21.874,0.052,0.388,0.076,78.36287,-65.47329
A,4581,290.864,425.085,18.565,0.008,-0.015,0.014,78.36189,-65.47273
A,4593,285.111,429.434,22.128,0.059,0.520,0.084,78.36063,-65.47232
A,4617,286.015,438.928,21.260,0.034,0.477,0.053,78.36086,-65.47145
A,7779,303.794,410.738,19.996,0.021,0.179,0.028,78.36471,-65.47407
A,7818,301.388,425.236,20.571,0.050,0.544,0.057,78.36423,-65.47273
A,12526,299.440,425.396,22.194,0.188,0.116,0.367,78.36380,-65.47271
A,1450,295.632,432.980,22.436,0.057,0.697,0.097,78.36298,-65.47201
A,1465,287.688,452.328,20.598,0.023,0.283,0.031,78.36128,-65.47021
A,1478,291.501,442.145,21.744,0.049,0.371,0.071,78.36209,-65.47116
A,1480,298.079,442.681,21.584,0.041,0.296,0.058,78.36355,-65.47112
A,7819,306.238,426.453,22.521,0.118,0.774,0.174,78.36531,-65.47263
A,4628,266.096,444.629,21.550,0.029,0.363,0.068,78.35646,-65.47089
A,6573,276.123,440.951,19.445,0.046,-0.180,0.056,78.35867,-65.47125
A,7862,277.027,443.478,16.783,0.008,0.690,0.015,78.35888,-65.47102
A,7870,264.008,449.064,22.111,0.064,0.542,0.102,78.35601,-65.47048
A,9443,266.122,436.208,18.839,0.012,0.102,0.016,78.35644,-65.47167
A,9833,275.498,444.928,20.761,0.149,1.850,0.393,78.35855,-65.47088
A,10352,273.814,433.725,20.422,0.065,0.090,0.071,78.35814,-65.47191
A,10353,272.306,435.316,19.967,0.079,-0.184,0.085,78.35781,-65.47176
A,10853,270.839,436.232,19.347,0.053,0.175,0.084,78.35748,-65.47168
A,1464,285.264,445.746,19.967,0.013,0.159,0.022,78.36072,-65.47082
A,1516,269.470,465.435,21.662,0.027,0.636,0.059,78.35728,-65.46898
A,4664,270.163,455.288,21.696,0.080,0.274,0.164,78.35740,-65.46992
A,4665,268.474,456.732,20.002,0.021,0.200,0.025,78.35703,-65.46978
A,4683,277.825,459.303,18.358,0.010,0.041,0.014,78.35911,-65.46956
A,7860,285.228,442.583,20.534,0.022,0.107,0.035,78.36070,-65.47111
A,7892,268.136,461.278,20.821,0.022,0.128,0.030,78.35697,-65.46936
A,8995,281.667,448.891,21.058,0.030,0.166,0.055,78.35993,-65.47052
A,8996,284.383,451.536,20.731,0.022,0.053,0.034,78.36054,-65.47028
A,1466,289.563,455.568,19.973,0.017,0.017,0.024,78.36171,-65.46992
A,1488,307.580,446.283,22.808,0.077,0.469,0.143,78.36568,-65.47080
A,1524,298.021,456.562,19.352,0.010,0.067,0.014,78.36359,-65.46984
A,1525,308.098,458.222,20.240,0.015,0.202,0.021,78.36583,-65.46970
A,4647,295.794,450.533,19.710,0.012,0.099,0.018,78.36307,-65.47039
A,9013,302.740,457.804,22.416,0.076,0.572,0.127,78.36464,-65.46973
A,9025,293.363,468.118,21.810,0.086,0.473,0.114,78.36259,-65.46877
A,1538,300.964,465.946,22.936,0.095,0.404,0.142,78.36427,-65.46898
A,1539,300.702,471.134,22.910,0.096,0.656,0.157,78.36423,-65.46850
A,4693,305.457,463.643,20.708,0.027,0.226,0.040,78.36526,-65.46920
A,7907,310.304,469.406,22.240,0.051,0.870,0.126,78.36636,-65.46867
A,1467,288.181,458.088,19.660,0.014,-0.019,0.021,78.36141,-65.46968
A,1468,283.664,463.140,20.503,0.020,0.123,0.030,78.36042,-65.46921
A,1469,287.815,468.722,19.295,0.010,0.014,0.016,78.36136,-65.46870
A,4718,273.729,474.559,18.597,0.009,-0.055,0.012,78.35826,-65.46814
A,4719,273.888,478.801,20.717,0.021,0.366,0.036,78.35831,-65.46775
A,6606,270.346,484.750,19.195,0.020,0.070,0.027,78.35754,-65.46720
A,7891,283.913,459.828,20.723,0.022,0.132,0.033,78.36047,-65.46952
A,7900,283.204,465.849,21.775,0.056,0.487,0.096,78.36033,-65.46896
A,1618,289.505,489.956,21.059,0.023,0.152,0.036,78.36181,-65.46675
A,1639,276.328,496.496,21.711,0.034,0.488,0.060,78.35891,-65.46613
A,6599,282.128,480.262,18.110,0.009,0.034,0.017,78.36014,-65.46763
A,6610,282.324,490.563,21.812,0.065,0.836,0.176,78.36022,-65.46668
A,7918,289.578,474.110,22.167,0.078,0.451,0.117,78.36177,-65.46821
A,9034,283.522,478.296,21.450,0.115,-0.228,0.180,78.36044,-65.46781
A,9467,284.537,492.112,19.259,0.011,0.899,0.024,78.36072,-65.46654
A,13064,281.469,493.593,21.977,0.063,0.666,0.094,78.36004,-65.46640
A,1508,253.485,452.923,21.408,0.024,0.424,0.037,78.35369,-65.47011
A,6583,245.260,460.018,21.587,0.048,0.359,0.072,78.35189,-65.46945
A,7861,260.694,443.026,21.331,0.025,0.598,0.043,78.35526,-65.47103
A,1551,264.421,469.424,20.440,0.018,0.124,0.023,78.35617,-65.46861
A,1557,245.201,475.337,19.133,0.008,0.052,0.011,78.35193,-65.46803
A,1585,254.498,478.254,20.449,0.017,0.159,0.025,78.35400,-65.46778
A,4666,262.793,458.133,20.875,0.032,0.223,0.044,78.35577,-65.46964
A,4667,260.285,460.881,19.977,0.017,0.093,0.023,78.35523,-65.46939
A,4709,252.065,469.477,20.928,0.020,0.114,0.031,78.35343,-65.46858
A,12805,263.613,462.831,21.955,0.059,0.442,0.086,78.35597,-65.46921
A,1526,240.172,456.903,20.873,0.018,0.420,0.029,78.35075,-65.46973
A,1552,222.481,469.782,19.975,0.014,0.089,0.018,78.34687,-65.46851
A,1553,222.907,481.048,21.929,0.037,0.448,0.061,78.34700,-65.46748
A,1555,242.334,470.694,21.049,0.024,0.157,0.034,78.35128,-65.46846
A,1556,239.149,473.257,20.492,0.016,0.228,0.023,78.35058,-65.46822
A,1559,230.268,470.952,23.274,0.133,0.671,0.215,78.34860,-65.46842
A,4697,235.742,464.040,23.125,0.112,0.617,0.175,78.34979,-65.46906
A,4714,227.309,476.398,23.050,0.097,0.744,0.189,78.34796,-65.46791
A,7916,222.026,475.675,22.839,0.082,0.563,0.126,78.34678,-65.46797
A,1606,238.080,485.272,20.258,0.013,0.165,0.018,78.35038,-65.46711
A,1607,232.525,487.472,22.757,0.076,0.457,0.113,78.34916,-65.46690
A,6608,243.717,487.129,20.481,0.020,0.106,0.028,78.35164,-65.46694
A,7921,235.341,476.680,21.350,0.034,0.488,0.049,78.34974,-65.46790
A,1582,261.302,481.923,18.909,0.007,-0.006,0.011,78.35552,-65.46745
A,4746,258.455,487.855,19.566,0.012,0.038,0.018,78.35491,-65.46690
A,7922,263.094,476.770,21.656,0.038,0.464,0.071,78.35590,-65.46793
A,13006,253.928,487.281,22.469,0.072,0.384,0.103,78.35391,-65.46694
A,1623,266.266,490.952,21.681,0.052,0.403,0.071,78.35666,-65.46662
A,1651,254.176,498.761,23.610,0.164,1.290,0.456,78.35400,-65.46589
A,1652,259.284,499.076,21.722,0.023,0.402,0.048,78.35514,-65.46586
A,4781,254.599,512.643,18.902,0.010,0.894,0.017,78.35414,-65.46461
A,6613,269.313,491.949,21.261,0.043,0.455,0.068,78.35734,-65.46654
A,6625,259.186,504.069,20.846,0.024,0.260,0.039,78.35513,-65.46540
A,9470,255.457,506.127,20.133,0.056,-0.010,0.094,78.35431,-65.46521
A,9471,254.350,507.757,19.301,0.027,0.047,0.032,78.35407,-65.46506
A,1667,226.611,504.021,20.251,0.018,0.097,0.024,78.34790,-65.46536
A,4763,239.914,495.889,22.413,0.071,0.475,0.108,78.35083,-65.46613
A,7949,244.258,494.626,20.678,0.019,0.124,0.026,78.35179,-65.46625
A,7975,239.215,504.895,22.230,0.088,0.541,0.130,78.35070,-65.46530
A,1722,242.130,524.466,22.828,0.089,0.453,0.141,78.35142,-65.46350
A,4786,242.883,507.872,22.796,0.083,0.410,0.128,78.35153,-65.46503
A,4842,236.097,526.486,19.628,0.018,0.107,0.028,78.35008,-65.46330
A,6637,233.796,520.092,18.643,0.009,0.005,0.016,78.34955,-65.46389
A,7982,246.226,512.332,20.884,0.221,-0.529,0.238,78.35228,-65.46462
A,13231,245.123,512.801,20.565,0.155,0.972,0.262,78.35204,-65.46458
A,13273,237.306,518.654,21.798,0.074,0.555,0.133,78.35033,-65.46403
A,13349,234.471,528.144,22.370,0.122,0.636,0.311,78.34973,-65.46315
A,7,57.477,2.499,21.586,0.047,0.477,0.071,78.30855,-65.51137
A,22,53.678,8.335,22.633,0.069,0.465,0.094,78.30772,-65.51082
A,3364,64.156,4.369,19.230,0.011,0.872,0.019,78.31004,-65.51120
A,3385,45.472,19.902,21.718,0.035,0.370,0.047,78.30594,-65.50974
B,1,58.443,1.000,19.719,0.027,0.662,0.077,78.30876,-65.51151
B,6122,61.048,0.065,21.367,0.357,1.173,0.512,78.30933,-65.51160
B,6128,63.543,5.890,21.587,0.045,0.353,0.065,78.30991,-65.51106
B,6130,46.637,11.864,21.420,0.031,0.313,0.053,78.30617,-65.51049
B,7232,46.072,7.746,21.311,0.034,0.177,0.046,78.30603,-65.51087
A,3358,120.756,1.092,20.431,0.033,0.026,0.048,78.32261,-65.51159
A,16,104.196,5.996,22.645,0.090,0.486,0.137,78.31895,-65.51111
A,24,91.921,9.154,20.779,0.020,0.311,0.028,78.31623,-65.51080
B,10,109.367,4.624,21.382,0.026,0.193,0.042,78.32009,-65.51125
B,31,97.150,15.209,21.688,0.031,0.299,0.055,78.31741,-65.51025
B,2816,112.541,9.827,22.061,0.054,0.265,0.066,78.32082,-65.51077
A,12,129.262,8.745,21.334,0.025,0.210,0.040,78.32453,-65.51089
A,48,126.426,17.193,19.816,0.026,0.228,0.034,78.32393,-65.51011
A,3396,117.335,23.149,22.682,0.082,0.226,0.115,78.32193,-65.50955
A,65,135.678,25.635,20.884,0.022,0.143,0.030,78.32602,-65.50935
A,6133,139.579,21.167,20.826,0.024,0.401,0.036,78.32687,-65.50976
B,50,120.442,25.258,22.560,0.068,0.604,0.110,78.32263,-65.50936
B,55,134.689,29.361,21.111,0.027,0.260,0.035,78.32581,-65.50900
B,5271,135.562,15.533,21.691,0.029,0.335,0.052,78.32596,-65.51028
B,2828,106.171,18.154,20.311,0.021,0.317,0.028,78.31943,-65.50999
B,7237,103.508,34.294,17.914,0.014,0.903,0.018,78.31890,-65.50850
A,87,114.018,32.487,19.935,0.012,0.134,0.017,78.32123,-65.50868
A,3456,98.767,50.125,19.676,0.011,1.720,0.023,78.31790,-65.50704
A,7143,101.818,44.436,18.879,0.019,1.520,0.047,78.31856,-65.50756
B,82,101.614,49.429,22.988,0.123,0.323,0.162,78.31853,-65.50710
B,99,99.553,55.666,20.961,0.020,0.658,0.032,78.31809,-65.50653
A,3379,75.311,13.000,22.607,0.071,0.636,0.111,78.31255,-65.51042
A,9313,76.530,4.641,19.059,0.057,0.092,0.079,78.31279,-65.51120
B,18,78.377,6.964,20.662,0.018,0.066,0.025,78.31321,-65.51099
B,5268,69.336,13.140,20.466,0.065,0.281,0.067,78.31122,-65.51040
