6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g0435070-132340,1,1.025,0.038,0.062,0.061,0.120,0.040,0.175,0.034,7,68.7790000,-13.3943056
g0435111-131440,1,0.600,0.098,0.212,0.118,0.120,0.044,0.325,0.083,2,68.7961667,-13.2443611
g0435174-014352,1,0.500,0.082,-0.038,0.113,0.120,0.059,0.075,0.065,4,68.8223750,-1.7312222
g0435266-115133,1,0.325,0.072,0.400,0.123,0.000,0.048,0.400,0.099,6,68.8607917,-11.8590833
g0435279-313001,1,0.375,0.073,0.315,0.098,0.090,0.043,0.400,0.078,4,68.8662083,-31.5002778
g0435378-023411,1,0.750,0.086,-0.035,0.100,0.090,0.056,0.050,0.057,7,68.9076667,-2.5696389
g0435417-065344,1,0.500,0.052,-0.123,0.080,0.210,0.051,0.075,0.044,7,68.9237500,-6.8954722
g0435441-104535,1,1.075,0.011,0.118,0.036,0.060,0.024,0.175,0.023,5,68.9338750,-10.7597778
g0435556-021852,1,1.175,0.019,-0.229,0.058,0.270,0.046,0.025,0.030,3,68.9814583,-2.3145000
g0436251-045914,1,1.125,0.011,-0.223,0.041,0.210,0.033,-0.025,0.017,5,69.1044583,-4.9872778
g0436303-025159,1,0.850,0.102,-0.151,0.097,0.240,0.055,0.075,0.059,5,69.1260833,-2.8663889
g0436307-112257,1,1.025,0.040,-0.495,0.072,0.340,0.053,-0.175,0.032,6,69.1280833,-11.3825278
g0436403-021726,1,1.075,0.020,-0.364,0.068,0.360,0.054,-0.025,0.030,4,69.1679167,-2.2904444
g0436483-131530,1,0.700,0.094,-0.126,0.098,0.320,0.049,0.175,0.062,6,69.2012083,-13.2583056
g0437005-110128,1,0.550,0.066,-0.113,0.086,0.120,0.057,0.000,0.049,5,69.2521250,-11.0243333
g0437031-400033,1,0.725,0.046,-0.333,0.066,0.380,0.044,0.025,0.034,8,69.2629167,-40.0091667
g0437038-101151,1,0.925,0.058,-0.016,0.048,0.150,0.026,0.125,0.036,2,69.2659583,-10.1975556
g0437055-060508,1,1.075,0.019,-0.583,0.057,0.460,0.052,-0.150,0.020,4,69.2730833,-6.0856111
g0437069-113425,1,0.650,0.080,-0.057,0.096,0.060,0.054,0.000,0.063,5,69.2786667,-11.5735000
g0437076-021817,1,0.975,0.050,0.105,0.055,0.180,0.035,0.275,0.034,4,69.2815833,-2.3046389
g0437188-104147,1,0.825,0.094,-0.245,0.094,0.180,0.061,-0.075,0.050,3,69.3281250,-10.6962500
g0437353-132609,1,0.725,0.100,0.205,0.079,0.180,0.039,0.375,0.055,2,69.3972500,-13.4359167
g0437363-044254,1,0.625,0.060,0.110,0.061,-0.090,0.037,0.025,0.045,5,69.4011667,-4.7148611
g0437433-114756,1,0.300,0.061,0.100,0.138,0.000,0.079,0.100,0.078,10,69.4302917,-11.7988889
g0437532-021146,1,0.850,0.093,-0.176,0.105,0.320,0.056,0.125,0.066,5,69.4717917,-2.1960556
g0437547-425854,1,0.675,0.081,0.174,0.071,0.320,0.023,0.475,0.059,2,69.4780833,-42.9816667
g0437562-114051,1,0.700,0.097,0.230,0.089,0.180,0.044,0.400,0.058,3,69.4841667,-11.6808611
g0438042-020257,1,0.775,0.091,-0.020,0.091,0.180,0.053,0.150,0.058,4,69.5175000,-2.0490833
g0438124-691717,1,0.825,0.091,0.024,0.084,0.240,0.048,0.250,0.056,8,69.5517083,-69.2881389
g0438141-320941,1,0.925,0.078,-0.509,0.107,0.620,0.067,0.075,0.055,8,69.5588750,-32.1612500
g0438225-110717,1,1.075,0.028,-0.333,0.053,0.380,0.043,0.025,0.025,5,69.5936250,-11.1214167
g0438580-133653,1,0.425,0.051,-0.245,0.096,0.340,0.057,0.075,0.052,5,69.7417917,-13.6146667
g0439145-742700,1,0.400,0.063,-0.408,0.115,0.300,0.064,-0.125,0.068,2,69.8102917,-74.4500000
g0439315-070551,1,0.425,0.059,0.312,0.074,0.120,0.030,0.425,0.057,5,69.8811667,-7.0974167
g0439589-103920,1,0.100,0.053,0.309,0.146,0.150,0.052,0.450,0.131,5,69.9953333,-10.6556667
g0440238-384250,1,0.375,0.078,-0.170,0.146,0.180,0.085,0.000,0.075,7,70.0993333,-38.7138889
g0440437-364105,1,1.075,0.017,-0.183,0.053,0.380,0.043,0.175,0.030,6,70.1821667,-36.6846111
g0440448-294049,1,0.525,0.070,0.087,0.080,0.120,0.049,0.200,0.057,3,70.1865833,-29.6802222
g0440508-121650,1,0.925,0.062,-0.076,0.059,0.320,0.032,0.225,0.040,9,70.2117083,-12.2805833
g0441032-070347,1,-0.200,0.025,0.171,0.084,0.270,0.040,0.425,0.055,5,70.2632917,-7.0631111
g0441350-123554,1,0.575,0.094,0.240,0.103,0.090,0.040,0.325,0.083,3,70.3958333,-12.5982500
g0441354-294701,1,1.100,0.030,-0.026,0.050,0.240,0.034,0.200,0.028,4,70.3974583,-29.7836389
g0441422-365559,1,1.000,0.023,0.090,0.050,0.090,0.038,0.175,0.025,5,70.4258750,-36.9330000
g0442175-680152,1,0.525,0.072,-0.489,0.126,0.360,0.075,-0.150,0.066,5,70.5728333,-68.0311667
g0442224-441039,1,0.550,0.080,-0.083,0.094,0.300,0.049,0.200,0.058,5,70.5935000,-44.1775000
g0442226-154712,1,0.775,0.058,-0.245,0.072,0.340,0.046,0.075,0.042,9,70.5940833,-15.7867222
g0442237-123753,1,1.175,0.009,-0.483,0.065,0.380,0.048,-0.125,0.028,6,70.5986667,-12.6313056
g0442333-324755,1,0.225,0.044,-0.176,0.124,0.320,0.085,0.125,0.059,7,70.6385833,-32.7985833
g0442427-365115,1,0.125,0.064,-0.102,0.144,0.480,0.057,0.350,0.114,8,70.6777917,-36.8541944
g0442488-393741,2,0.925,0.075,0.054,0.055,0.420,0.029,0.450,0.040,8,70.7035000,-39.6280833
g0443020-091860,1,0.600,0.064,-0.108,0.059,0.460,0.031,0.325,0.041,10,70.7582500,-9.3165278
g0443129-154210,1,0.800,0.065,-0.139,0.066,0.440,0.033,0.275,0.041,9,70.8038750,-15.7028889
g0443147-443452,1,0.700,0.080,-0.270,0.097,0.180,0.059,-0.100,0.052,4,70.8110833,-44.5810556
g0443232-321739,1,1.075,0.031,-0.221,0.061,0.420,0.043,0.175,0.030,7,70.8468333,-32.2942500
g0443533-155700,1,1.050,0.028,-0.606,0.081,0.590,0.065,-0.050,0.031,10,70.9719583,-15.9501111
g0444225-154926,1,1.075,0.028,-0.058,0.044,0.380,0.032,0.300,0.024,9,71.0939167,-15.8239167
g0444374-155524,1,1.050,0.030,-0.302,0.047,0.480,0.030,0.150,0.027,9,71.1559583,-15.9232500
g0445029-274623,1,0.425,0.054,0.147,0.082,0.030,0.054,0.175,0.047,3,71.2618750,-27.7729722
g0445044-160850,1,1.100,0.015,-0.354,0.055,0.270,0.054,-0.100,0.030,8,71.2682917,-16.1473333
g0445051-442240,1,0.525,0.097,0.215,0.099,0.090,0.047,0.300,0.081,7,71.2710833,-44.3778333
g0445131-150652,1,0.575,0.068,0.117,0.067,0.300,0.030,0.400,0.049,4,71.3046667,-15.1144167
g0445137-155315,1,0.625,0.096,0.230,0.093,0.180,0.037,0.400,0.071,5,71.3070833,-15.8875833
g0445360-160606,1,1.125,0.015,-0.552,0.061,0.480,0.052,-0.100,0.024,10,71.3998750,-16.1016111
g0445382-150558,1,0.725,0.164,-0.076,0.159,0.240,0.090,0.150,0.097,8,71.4092917,-15.0993889
g0445421-393258,1,0.400,0.167,0.130,0.231,0.180,0.098,0.300,0.169,10,71.4255833,-39.5495278
g0445495-213937,2,0.800,0.133,-0.489,0.160,0.360,0.097,-0.150,0.080,4,71.4561250,-21.6602222
g0445534-050812,1,0.575,0.049,0.015,0.047,0.090,0.035,0.100,0.035,5,71.4724583,-5.1367222
g0446047-222153,1,0.600,0.098,-0.070,0.126,0.180,0.071,0.100,0.072,3,71.5196250,-22.3646944
g0446210-434856,1,1.125,0.028,0.215,0.058,0.090,0.045,0.300,0.039,6,71.5872917,-43.8154167
g0446281-164142,1,0.950,0.071,-0.308,0.071,0.460,0.044,0.125,0.043,4,71.6169583,-16.6948889
g0446409-162922,1,0.350,0.059,-0.402,0.154,0.480,0.104,0.050,0.069,8,71.6703333,-16.4894167
g0446527-391503,1,1.100,0.069,-0.354,0.103,0.270,0.074,-0.100,0.050,5,71.7195000,-39.2507500
g0446548-131410,1,0.600,0.101,-0.804,0.123,0.800,0.077,-0.050,0.083,7,71.7284583,-13.2361944
g0446566-145136,1,0.850,0.091,-0.114,0.085,0.360,0.048,0.225,0.052,5,71.7359167,-14.8600000
g0446567-055857,1,1.175,0.004,-0.126,0.052,0.240,0.034,0.100,0.030,4,71.7362500,-5.9826111
g0446582-162822,1,0.375,0.080,0.102,0.121,0.210,0.059,0.300,0.076,3,71.7422917,-16.4726944
g0447090-162043,1,0.625,0.064,-0.484,0.100,0.620,0.068,0.100,0.055,7,71.7874583,-16.3453333
g0447171-170545,1,0.700,0.103,-0.596,0.161,0.420,0.110,-0.200,0.065,6,71.8212917,-17.0957222
g0448047-142605,1,-0.050,0.058,0.277,0.163,0.210,0.078,0.475,0.103,6,72.0194167,-14.4348056
g0448056-133953,1,0.475,0.068,0.190,0.079,0.090,0.045,0.275,0.054,5,72.0232917,-13.6646389
g0448211-062925,1,0.975,0.072,-0.352,0.079,0.480,0.053,0.100,0.044,8,72.0880000,-6.4903611
g0448212-051508,1,1.175,0.019,-0.439,0.050,0.360,0.041,-0.100,0.028,4,72.0885000,-5.2521389
g0448360-124626,1,0.725,0.068,0.005,0.082,0.340,0.046,0.325,0.047,3,72.1497917,-12.7737500
g0448477-142244,1,0.775,0.080,0.099,0.070,0.240,0.033,0.325,0.049,3,72.1989167,-14.3788056
g0448490-370924,1,0.900,0.126,-0.483,0.095,0.460,0.062,-0.050,0.063,8,72.2039583,-37.1567500
g0448542-265053,1,0.700,0.103,0.187,0.112,0.120,0.053,0.300,0.078,6,72.2257083,-26.8479722
g0449013-064935,1,0.650,0.153,0.105,0.146,0.180,0.063,0.275,0.125,8,72.2553333,-6.8263889
g0449256-180204,1,1.175,0.020,-0.464,0.089,0.360,0.072,-0.125,0.030,9,72.3567917,-18.0345556
g0449401-172918,1,0.575,0.094,-0.148,0.111,0.210,0.052,0.050,0.076,6,72.4170417,-17.4883611
g0449426-024538,1,1.000,0.039,-0.103,0.051,0.030,0.040,-0.075,0.026,6,72.4275833,-2.7605000
g0449436-055356,1,0.250,0.056,0.272,0.123,0.030,0.057,0.300,0.087,5,72.4317500,-5.8988333
g0449446-422549,1,0.550,0.101,-0.154,0.124,0.270,0.073,0.100,0.075,5,72.4356250,-42.4303333
g0449456-131758,1,0.425,0.115,0.030,0.167,0.340,0.065,0.350,0.136,5,72.4401667,-13.2993889
g0450105-550736,1,1.125,0.066,-0.321,0.106,0.420,0.102,0.075,0.095,9,72.5437500,-55.1267778
g0450298-613237,1,0.950,0.069,-0.213,0.070,0.120,0.046,-0.100,0.041,4,72.6242500,-61.5435556
g0450337-053845,1,0.650,0.108,0.018,0.126,0.060,0.076,0.075,0.081,6,72.6402083,-5.6458333
g0450492-163856,1,0.300,0.080,0.115,0.155,0.090,0.086,0.200,0.092,5,72.7051667,-16.6489722
g0450528-305826,1,0.400,0.148,0.203,0.177,-0.030,0.069,0.175,0.125,9,72.7199167,-30.9739722
g0451206-173012,1,1.000,0.040,0.030,0.057,0.180,0.034,0.200,0.033,5,72.8357917,-17.5033889
g0451248-184747,1,1.175,0.106,-0.083,0.133,0.300,0.073,0.200,0.098,9,72.8535000,-18.7962500
g0452123-172430,1,0.650,0.103,0.212,0.102,0.120,0.049,0.325,0.071,6,73.0511250,-17.4082222
g0452198-030621,1,1.000,0.050,-0.201,0.065,0.320,0.042,0.100,0.036,7,73.0824583,-3.1058056
g0452205-193149,1,0.725,0.145,0.218,0.158,0.060,0.067,0.275,0.106,4,73.0855000,-19.5302778
g0452252-033356,1,1.175,0.010,-0.375,0.057,0.000,0.054,-0.375,0.026,9,73.1049167,-3.5655278
g0452312-030622,1,0.950,0.056,-0.079,0.060,0.270,0.034,0.175,0.036,6,73.1298333,-3.1060833
g0452457-554133,1,0.850,0.185,0.284,0.182,0.150,0.101,0.425,0.130,7,73.1903750,-55.6925556
g0452496-434652,1,0.600,0.084,0.093,0.101,0.060,0.051,0.150,0.068,3,73.2066250,-43.7811944
g0452547-152047,1,0.850,0.088,-0.153,0.080,0.030,0.057,-0.125,0.048,2,73.2277500,-15.3464722
g0453045-452448,1,1.100,0.059,-0.314,0.098,0.440,0.066,0.100,0.058,3,73.2687083,-45.4133611
g0453123-132941,1,0.225,0.042,0.343,0.136,0.060,0.052,0.400,0.121,4,73.3010833,-13.4946389
g0453343-175522,1,0.525,0.122,-0.295,0.173,0.340,0.106,0.025,0.106,8,73.3927917,-17.9228333
g0453372-175531,1,0.900,0.104,0.021,0.092,0.270,0.043,0.275,0.063,6,73.4048333,-17.9253333
g0453447-035510,1,0.700,0.092,-0.145,0.100,0.180,0.061,0.025,0.056,5,73.4360833,-3.9195000
g0453486-322624,1,0.675,0.074,-0.179,0.089,0.270,0.047,0.075,0.066,6,73.4523333,-32.4399722
g0453553-182044,1,0.775,0.089,-0.101,0.103,0.240,0.051,0.125,0.066,5,73.4804583,-18.3455000
g0453580-185641,1,1.000,0.071,-0.039,0.074,0.360,0.050,0.300,0.047,6,73.4914583,-18.9447778
g0454137-435226,1,-0.025,0.052,0.230,0.114,0.180,0.048,0.400,0.101,7,73.5571667,-43.8738611
g0454225-535357,1,0.450,0.116,-0.120,0.195,0.340,0.083,0.200,0.138,4,73.5936667,-53.8991389
g0454247-175656,1,0.825,0.097,-0.246,0.089,0.420,0.049,0.150,0.054,7,73.6029583,-17.9489444
g0454347-185712,1,0.750,0.127,-0.114,0.128,0.440,0.067,0.300,0.088,7,73.6445833,-18.9534444
g0454360-012213,1,1.000,0.103,-0.088,0.080,0.120,0.059,0.025,0.062,9,73.6501667,-1.3703333
g0454368-175909,1,0.650,0.131,0.028,0.136,-0.030,0.078,0.000,0.091,6,73.6531667,-17.9858333
g0454429-172709,1,0.500,0.071,0.152,0.084,0.210,0.042,0.350,0.059,1,73.6786667,-17.4524722
g0454434-172718,1,0.775,0.092,-0.173,0.094,0.210,0.060,0.025,0.058,6,73.6807083,-17.4550000
g0454523-180656,1,0.425,0.113,0.105,0.166,0.340,0.048,0.425,0.147,9,73.7177500,-18.1155556
g0455232-182314,1,0.575,0.076,0.177,0.084,0.210,0.045,0.375,0.057,3,73.8466250,-18.3871667
g0455303-314837,1,0.950,0.115,-0.370,0.102,0.340,0.062,-0.050,0.061,9,73.8763750,-31.8101667
g0455311-203609,1,1.150,0.000,-0.327,0.050,0.400,0.038,0.050,0.029,5,73.8794167,-20.6023889
g0455342-201844,1,0.600,0.089,-0.164,0.119,0.360,0.066,0.175,0.073,8,73.8923333,-20.3121944
g0455442-424334,1,0.725,0.099,-0.051,0.118,0.240,0.060,0.175,0.070,4,73.9342917,-42.7260000
g0455444-191429,1,0.850,0.108,0.005,0.104,0.180,0.053,0.175,0.071,6,73.9349167,-19.2413611
g0455501-205202,1,0.925,0.065,-0.079,0.057,0.270,0.036,0.175,0.037,4,73.9587917,-20.8671111
g0456008-540929,1,0.250,0.105,0.472,0.184,0.030,0.067,0.500,0.154,4,74.0031250,-54.1580000
g0456101-191734,1,0.350,0.083,-0.026,0.124,0.320,0.055,0.275,0.088,9,74.0420833,-19.2927500
g0456111-405603,1,1.125,0.044,-0.028,0.081,0.030,0.057,0.000,0.051,6,74.0461250,-40.9342778
g0456163-202352,1,1.000,0.085,-0.321,0.098,0.420,0.057,0.075,0.058,5,74.0677500,-20.3977222
g0456185-195840,1,1.150,0.015,-0.446,0.057,0.420,0.045,-0.050,0.028,5,74.0769167,-19.9777222
g0456243-630639,1,0.400,0.067,-0.307,0.104,0.060,0.069,-0.250,0.063,7,74.1010417,-63.1107778
g0456318-152616,1,0.650,0.130,-0.233,0.146,0.300,0.073,0.050,0.091,7,74.1324583,-15.4376944
g0456328-200919,1,0.100,0.045,0.300,0.098,0.000,0.040,0.300,0.079,5,74.1365000,-20.1551944
g0456370-222552,2,0.850,0.113,-0.241,0.110,0.150,0.072,-0.100,0.060,5,74.1541667,-22.4309722
g0456536-181444,1,0.675,0.124,0.196,0.090,0.270,0.035,0.450,0.072,5,74.2235000,-18.2454444
g0457045-181709,1,1.050,0.031,-0.189,0.061,0.440,0.042,0.225,0.031,5,74.2686667,-18.2858333
g0457072-543257,1,0.775,0.116,-0.204,0.124,0.270,0.072,0.050,0.071,4,74.2801667,-54.5492778
g0457115-423705,1,0.650,0.143,-0.003,0.158,0.030,0.076,0.025,0.103,6,74.2977083,-42.6181389
g0457171-151720,1,0.700,0.059,0.287,0.053,0.120,0.035,0.400,0.031,1,74.3211250,-15.2890000
g0457209-111448,1,0.450,0.115,0.277,0.131,0.210,0.043,0.475,0.115,9,74.3372083,-11.2465556
g0457230-221302,1,0.700,0.116,0.002,0.122,0.210,0.059,0.200,0.078,3,74.3459167,-22.2172222
g0457305-200225,1,0.800,0.076,-0.126,0.086,0.240,0.056,0.100,0.056,6,74.3771250,-20.0402500
g0457327-010722,1,1.175,0.024,-0.354,0.052,0.270,0.045,-0.100,0.032,4,74.3863333,-1.1228056
g0457445-151358,1,0.600,0.061,0.030,0.070,0.180,0.039,0.200,0.049,1,74.4355417,-15.2327778
g0457499-381960,1,0.450,0.212,0.021,0.271,0.270,0.115,0.275,0.223,10,74.4579167,-38.3331944
g0458126-050933,1,0.450,0.070,-0.051,0.090,0.240,0.049,0.175,0.057,4,74.5522917,-5.1591667
g0458333-003312,1,0.975,0.042,-0.045,0.066,0.340,0.043,0.275,0.040,4,74.6386667,-0.5532222
g0458471-213410,1,0.575,0.074,-0.145,0.089,0.180,0.054,0.025,0.055,5,74.6960833,-21.5694167
g0458473-214344,1,0.950,0.089,-0.254,0.098,0.270,0.079,0.000,0.073,10,74.6970417,-21.7287778
g0458546-002920,1,0.800,0.106,0.180,0.087,0.180,0.038,0.350,0.066,4,74.7275417,-0.4889167
g0459138-264127,1,1.150,0.026,-0.423,0.099,0.210,0.083,-0.225,0.037,8,74.8076667,-26.6907778
g0459292-160135,1,0.600,0.072,-0.208,0.097,0.380,0.056,0.150,0.055,6,74.8715000,-16.0262500
g0459319-154925,1,1.025,0.029,0.005,0.046,0.180,0.036,0.175,0.025,6,74.8828333,-15.8236667
g0459333-181217,1,0.525,0.086,0.209,0.106,0.150,0.048,0.350,0.076,3,74.8888750,-18.2048056
g0459344-574206,1,0.450,0.086,-0.283,0.133,0.460,0.086,0.150,0.080,5,74.8932917,-57.7016389
g0459346-001538,1,1.175,0.004,-0.245,0.056,0.340,0.046,0.075,0.027,4,74.8942917,-0.2604167
g0459371-234849,1,0.375,0.138,0.538,0.175,-0.120,0.076,0.425,0.146,7,74.9047500,-23.8134722
g0459530-120212,1,0.950,0.046,0.080,0.050,0.180,0.033,0.250,0.030,3,74.9709167,-12.0366944
g0459591-172735,1,0.850,0.086,-0.066,0.090,0.150,0.050,0.075,0.055,2,74.9964167,-17.4598056
g0500058-172900,1,0.225,0.063,-0.049,0.134,-0.240,0.063,-0.275,0.102,3,75.0239583,-17.4833889
g0500096-232054,1,0.375,0.095,0.313,0.164,-0.120,0.078,0.200,0.111,5,75.0400000,-23.3482778
g0500097-222709,1,0.550,0.027,0.184,0.096,0.150,0.074,0.325,0.042,10,75.0402917,-22.4525833
g0500146-221116,1,0.475,0.129,-0.153,0.224,0.030,0.135,-0.125,0.113,9,75.0608750,-22.1876944
g0500186-181911,1,0.900,0.125,0.018,0.127,0.060,0.068,0.075,0.081,6,75.0775833,-18.3195833
g0500247-211407,1,1.000,0.061,-0.327,0.095,0.400,0.073,0.050,0.045,8,75.1030833,-21.2351944
g0500254-211431,1,0.650,0.119,0.262,0.126,0.120,0.055,0.375,0.087,6,75.1057500,-21.2420556
g0500286-025124,1,0.300,0.107,0.034,0.209,0.150,0.108,0.175,0.146,10,75.1192083,-2.8566111
g0500297-221435,1,1.050,0.172,-0.374,0.212,0.530,0.080,0.125,0.151,10,75.1239167,-22.2430278
g0500359-573855,1,0.925,0.110,-0.020,0.132,0.180,0.075,0.150,0.082,3,75.1495833,-57.6484722
g0500539-202405,1,0.875,0.104,0.018,0.104,0.060,0.057,0.075,0.073,7,75.2244167,-20.4012500
g0500553-132520,1,0.275,0.023,0.093,0.069,0.060,0.041,0.150,0.038,2,75.2304583,-13.4222500
g0500584-082405,1,0.650,0.110,0.407,0.120,-0.060,0.063,0.350,0.085,4,75.2433750,-8.4013611
g0500591-222801,1,0.575,0.073,-0.929,0.087,0.800,0.057,-0.175,0.049,8,75.2461250,-22.4670000
g0501024-181716,1,0.850,0.105,0.115,0.097,0.090,0.048,0.200,0.068,5,75.2601250,-18.2876389
g0501076-215136,1,1.075,0.033,-0.016,0.069,0.150,0.054,0.125,0.039,10,75.2817917,-21.8598611
g0501079-234428,1,0.900,0.085,-0.076,0.086,0.240,0.045,0.150,0.058,4,75.2830000,-23.7409722
g0501097-224858,1,0.175,0.032,-0.071,0.095,0.420,0.038,0.325,0.085,5,75.2905833,-22.8160278
g0501185-223952,1,-0.050,0.055,0.285,0.132,-0.090,0.084,0.200,0.096,10,75.3270417,-22.6643611
g0501200-163904,1,0.600,0.070,-0.076,0.084,0.240,0.050,0.150,0.060,6,75.3331250,-16.6511944
g0501294-191740,1,0.700,0.076,-0.007,0.107,0.060,0.064,0.050,0.063,5,75.3725417,-19.2945278
g0501302-230651,1,0.225,0.032,-0.164,0.087,0.360,0.070,0.175,0.053,6,75.3759167,-23.1141111
g0501308-443941,1,0.350,0.106,0.138,0.176,-0.120,0.091,0.025,0.111,10,75.3784167,-44.6613611
g0501353-234447,1,0.725,0.115,-0.041,0.113,0.150,0.057,0.100,0.072,2,75.3971250,-23.7462778
g0501361-225606,1,1.175,0.017,-0.416,0.084,0.150,0.076,-0.275,0.033,3,75.4005417,-22.9350833
g0501382-224317,1,0.550,0.127,0.683,0.130,-0.300,0.044,0.400,0.121,9,75.4092917,-22.7215000
g0501398-091553,1,1.050,0.030,-0.251,0.065,0.320,0.040,0.050,0.037,5,75.4158333,-9.2646667
g0501427-150947,1,1.025,0.029,-0.608,0.060,0.460,0.052,-0.175,0.037,7,75.4277500,-15.1631389
g0501452-152656,1,1.125,0.041,0.060,0.070,-0.090,0.054,-0.025,0.043,10,75.4384167,-15.4487500
g0501454-152550,1,0.325,0.086,-0.101,0.202,0.320,0.081,0.200,0.159,6,75.4390417,-15.4306667
g0501487-121424,1,0.700,0.077,-0.064,0.107,0.360,0.055,0.275,0.066,6,75.4529583,-12.2400833
g0501499-250410,1,0.825,0.095,-0.145,0.087,0.340,0.044,0.175,0.054,1,75.4580000,-25.0694167
g0501548-031746,1,0.725,0.092,0.071,0.079,0.270,0.048,0.325,0.049,7,75.4784583,-3.2962222
g0501556-164855,1,0.850,0.126,-0.208,0.124,0.460,0.065,0.225,0.080,10,75.4816667,-16.8151944
g0501560-215441,1,0.750,0.137,-0.339,0.147,0.360,0.087,0.000,0.100,10,75.4832917,-21.9112500
g0501597-445249,1,1.150,0.039,-0.416,0.084,0.150,0.076,-0.275,0.036,9,75.4988333,-44.8802778
g0502007-210813,1,1.125,0.004,-0.570,0.042,0.340,0.036,-0.250,0.019,2,75.5029167,-21.1369722
g0502026-534848,1,0.725,0.145,-0.004,0.141,0.270,0.074,0.250,0.095,3,75.5107500,-53.8132778
g0502048-172827,1,1.175,0.005,-0.558,0.057,0.300,0.051,-0.275,0.023,3,75.5200417,-17.4742500
g0502150-245046,1,0.425,0.094,0.270,0.140,-0.180,0.074,0.100,0.091,3,75.5624583,-24.8462222
g0502177-302717,1,0.475,0.087,0.077,0.114,0.210,0.054,0.275,0.078,6,75.5739167,-30.4546667
g0502281-122546,1,1.100,0.038,-0.216,0.066,0.150,0.057,-0.075,0.031,5,75.6171667,-12.4293056
g0502283-114401,1,0.525,0.098,-0.129,0.129,0.270,0.074,0.125,0.072,5,75.6178333,-11.7334722
g0502294-121814,1,0.750,0.130,0.127,0.132,0.210,0.055,0.325,0.092,5,75.6225833,-12.3040000
g0502325-221509,1,0.250,0.071,0.403,0.176,-0.030,0.056,0.375,0.160,7,75.6353333,-22.2526111
g0502369-444514,1,0.425,0.122,-0.014,0.193,0.440,0.069,0.400,0.148,7,75.6537083,-44.7539167
g0502374-205522,1,0.250,0.051,0.018,0.148,0.060,0.093,0.075,0.081,6,75.6557917,-20.9228333
g0502451-253213,1,0.550,0.123,0.028,0.130,-0.030,0.070,0.000,0.084,5,75.6879583,-25.5368056
g0502542-202159,1,0.925,0.066,-0.001,0.061,0.240,0.034,0.225,0.040,1,75.7260000,-20.3663889
g0503027-240941,1,0.825,0.091,-0.731,0.151,0.590,0.109,-0.175,0.060,8,75.7612917,-24.1615000
g0503101-240002,1,0.175,0.065,0.155,0.159,0.180,0.067,0.325,0.124,6,75.7922500,-24.0006667
g0503102-201621,1,0.325,0.070,0.067,0.130,0.380,0.039,0.425,0.115,8,75.7924167,-20.2724444
g0503132-224959,1,0.250,0.022,0.337,0.072,0.120,0.028,0.450,0.061,3,75.8048750,-22.8331111
g0503135-212010,1,0.625,0.151,0.224,0.149,0.240,0.050,0.450,0.117,4,75.8061250,-21.3361667
g0503224-211332,1,0.700,0.104,-0.227,0.136,0.400,0.075,0.150,0.080,4,75.8434583,-21.2254722
g0503234-201841,1,0.750,0.094,-0.101,0.100,0.240,0.055,0.125,0.058,5,75.8475417,-20.3114167
g0503263-200236,1,0.675,0.056,0.084,0.074,0.150,0.043,0.225,0.046,1,75.8596250,-20.0432222
g0503506-233060,1,0.300,0.043,-0.331,0.118,0.590,0.081,0.225,0.052,9,75.9609167,-23.5166389
g0503512-162600,1,1.025,0.090,0.450,0.089,0.000,0.054,0.450,0.057,7,75.9634583,-16.4334167
g0503578-240032,1,0.850,0.104,-0.151,0.110,0.320,0.063,0.150,0.065,8,75.9910000,-24.0088056
g0504067-572659,1,0.450,0.090,0.268,0.115,0.060,0.045,0.325,0.087,2,76.0277083,-57.4498056
g0504074-234512,1,0.250,0.056,-0.669,0.155,0.710,0.090,0.000,0.086,8,76.0307083,-23.7534167
g0504224-190225,1,1.175,0.025,-0.357,0.058,0.060,0.066,-0.300,0.041,10,76.0932083,-19.0402500
g0504229-433753,1,0.350,0.123,0.268,0.216,0.060,0.099,0.325,0.153,8,76.0955833,-43.6312778
g0504324-250850,1,0.725,0.104,0.177,0.088,0.210,0.038,0.375,0.066,4,76.1347917,-25.1472778
g0504443-203329,1,1.025,0.062,-0.308,0.079,0.300,0.070,-0.025,0.046,6,76.1844167,-20.5579444
g0504446-251040,1,0.375,0.084,0.117,0.130,0.380,0.045,0.475,0.118,7,76.1856667,-25.1776944
g0504456-205556,1,0.800,0.111,0.237,0.100,0.120,0.051,0.350,0.068,7,76.1900833,-20.9322778
g0504503-371311,1,0.775,0.095,0.297,0.097,0.030,0.048,0.325,0.061,9,76.2093750,-37.2198056
g0504539-380631,1,0.825,0.111,-0.213,0.117,0.120,0.067,-0.100,0.069,5,76.2246667,-38.1085833
g0504580-811839,1,0.900,0.109,-0.263,0.109,0.120,0.061,-0.150,0.064,5,76.2417917,-81.3106944
g0504600-251233,1,0.150,0.062,-0.021,0.177,0.420,0.067,0.375,0.134,5,76.2497917,-25.2091944
g0505044-154543,1,1.125,0.029,-0.506,0.084,0.590,0.060,0.050,0.035,7,76.2682917,-15.7619167
g0505179-242124,1,0.350,0.066,-0.126,0.141,0.240,0.083,0.100,0.076,4,76.3246250,-24.3567222
